ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2014,"2014","04000US36","New York",199474,7389.768061312886,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2014,"2014","04000US36","New York",69130,4690.3144883898785,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",13,"Law Enforcement Workers Including Supervisors",2014,"2014","04000US36","New York",36206,3429.795474951823,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",17,"Sales & Related Occupations",2014,"2014","04000US36","New York",401928,10398.763195688225,"New York, NY","16000US3651000","new-york-ny"
2,"Sales & Office Occupations",6,"Sales & Office Occupations",18,"Office & Administrative Support Occupations",2014,"2014","04000US36","New York",483499,10838.709378888245,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",19,"Farming, Fishing, & Forestry Occupations",2014,"2014","04000US36","New York",2509,1076.4836273720098,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",20,"Construction & Extraction Occupations",2014,"2014","04000US36","New York",172425,8060.32778489808,"New York, NY","16000US3651000","new-york-ny"
3,"Natural Resources, Construction, & Maintenance Occupations",7,"Natural Resources, Construction, & Maintenance Occupations",21,"Installation, Maintenance, & Repair Occupations",2014,"2014","04000US36","New York",71910,5920.354719102565,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,"Production Occupations",2014,"2014","04000US36","New York",105536,4910.606174394359,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,"Transportation Occupations",2014,"2014","04000US36","New York",183812,7590.5758016108375,"New York, NY","16000US3651000","new-york-ny"
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",24,"Material Moving Occupations",2014,"2014","04000US36","New York",56035,4148.365461238921,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,"Management Occupations",2013,"2013","04000US36","New York",365262,11271.780028016872,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2013,"2013","04000US36","New York",228652,9411.56618209743,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2013,"2013","04000US36","New York",98898,6228.802292575997,"New York, NY","16000US3651000","new-york-ny"
